"Enter the button title to be displayed in the popup.";"Enter the button title to be displayed in the popup."
"Enter the verb to be displayed in the feeds for check-ins using this button.";"Enter the verb to be displayed in the feeds for check-ins using this button."
"Enter the title of this button to be displayed on this content.";"Enter the title of this button to be displayed on this content."
"Enter the text for showing number of check-ins made by the user viewing this content.";"Enter the text for showing number of check-ins made by the user viewing this content."
"Enter the text for showing total number of check-ins made on this content.";"Enter the text for showing total number of check-ins made on this content."
"Check-Ins";"Check-Ins"
"Displays all the feeds for the check-ins done by a user via the status update box or by using the check-in button. This widget should be placed on Member Profile page in the Tab Container.";"Displays all the feeds for the check-ins done by a user via the status update box or by using the check-in button. This widget should be placed on Member Profile page in the Tab Container."
"Content: Location & Check-in Feeds";"Content: Location & Check-in Feeds"
"Displays the location associated with the content on the map and the feeds generated for the check-ins in this content.";"Displays the location associated with the content on the map and the feeds generated for the check-ins in this content."
"What do you want to display in this widget?";"What do you want to display in this widget?"
"Enter the height of the map in pixels.";"Enter the height of the map in pixels."


"ACTIVITY_TYPE_SITETAGCHECKIN_TAGGED";"When I am tagged-in a post."
"ACTIVITY_TYPE_SITETAGCHECKIN_TAGGED_LOCATION";"When location is added to the photo (object) I'm tagged-in."
"ACTIVITY_TYPE_SITETAGCHECKIN_PAGE_TAGGED";"When someone adds my page as location."
"ACTIVITY_TYPE_SITETAGCHECKIN_GROUP_TAGGED";"When someone adds my group as location."
"ACTIVITY_TYPE_SITETAGCHECKIN_BUSINESS_TAGGED";"When someone adds my business as location."
"ACTIVITY_TYPE_SITETAGCHECKIN_STORE_TAGGED";"When someone adds my store as location."
"ACTIVITY_TYPE_SITETAGCHECKIN_EVENT_TAGGED";"When someone adds my event as location."
"ADMIN_ACTIVITY_TYPE_SITETAGCHECKIN_LCT_ADD_TO_MAP";"When a user (subject) adds previous date while checking into any content."
"_ACTIVITY_ACTIONTYPE_SITETAGCHECKIN_LCT_ADD_TO_MAP";"When someone adds previous date while checking into any content posted by me."
"PHOTO_1";"Photo";"Photos"
"Event Attended";"Event Attended";"Events Attended"
"ADMIN_ACTIVITY_TYPE_SITETAGCHECKIN_PROFILE_PHOTO";"When a user (subject) adds location to his profile photos (object)."
"_ACTIVITY_ACTIONTYPE_SITETAGCHECKIN_PROFILE_PHOTO";"When I add location to my profile photos (object)."
"Where were photos in this album taken?";"Where were photos in this album taken?"
"Publish an Update for your Action";"Publish an Update for your Action"
"Add Your Location on Map";"Add Your Location on Map"
"Add Location";"Add Location"
"Where was this photo taken?";"Where was this photo taken?"
"Edit Location";"Edit Location"
"Browse By Locations";"Browse By Locations"
"Search";"Search"
"Close";"Close"
"in";"in"


"What";"What"
"Who";"Who"
"(Enter keywords or Member name)";"(Enter keywords or Member name)"
"Where";"Where"
"(address, city, state or country)";"(address, city, state or country)"
"Advanced search";"Advanced search"
"Street";"Street"
"City";"City"
"State";"State"
"Country";"Country"
"Only Members With Photos";"Only Members With Photos"
"Only Online Members";"Only Online Members"
"All Members";"All Members"
"Only My Friends";"Only My Friends"
"All Categories";"All Categories"
"Category";"Category"
"(Enter keywords or Event name)";"(Enter keywords or Event name)"
"Everyone\'s Events";"Everyone\'s Events"
"Only My Friends\' Events";"Only My Friends\' Events"
"Proximity";"Proximity"
"Start Time";"Start Time"
"Recently Created";"Recently Created"
"Most Popular";"Most Popular"
"From:";"From:"
"To:";"To:"
"Everyone\'s Groups";"Everyone\'s Groups"
"Only My Friends\' Groups";"Only My Friends\' Groups"
"List By:";"List By:"
"View:";"View:"
"Small Map";"Small Map"
"Large Map";"Large Map"
"Locations on ";"Locations on "
"%s event found.";"%s event found.";"%s events found."
