"Browse Groups";"Browse Circles"
"All Group Members";"All Circle Members"

"Groups Plugin";"Circles Plugin"
"Manage Groups";"Manage Circles"
"Allow Deletion of Groups?";"Allow Deletion of Circles?"
"Do you want to let members delete groups? If set to no, some other settings on this page may not apply.";"Do you want to let members delete circles? If set to no, some other settings on this page may not apply."
"Yes, allow members to delete their own groups.";"Yes, allow members to delete their own circles."
"No, do not allow members to delete their groups.";"No, do not allow members to delete their circles."
"Allow Commenting on Groups?";"Allow Commenting on Circles?"
"Do you want to let members of this level comment on groups?";"Do you want to let members of this level comment on circles?"
"Yes, allow members to comment on groups.";"Yes, allow members to comment on circles."
"No, do not allow members to comment on groups.";"No, do not allow members to comment on circles."
"Allow HTML in posts?";"Allow HTML in posts?"
"GROUP_FORM_ADMIN_LEVEL_CONTENTHTML_DESCRIPTION";"If you have disabled HTML in posts but want to allow specific tags, you can enter them below (separated by commas). If you have enabled HTML in posts, this setting will have no effect.  Example: b, img, a, embed, font"

"Group Profile Discussions";"Circle Profile Discussions"
"Group Profile Events";"Circle Profile Events"
"Group Profile Info";"Circle Profile Info"
"Group Profile Members";"Circle Profile Members"
"Group Profile Options";"Circle Profile Options"
"Group Profile Photo";"Circle Profile Photo"
"Group Profile Photos";"Circle Profile Photos"
"Group Profile Status";"Circle Profile Status"
"Profile Groups";"Profile Circles"

# global settings
"Yes, members can use BBCode tags.";"Yes, members can use BBCode tags."
"No, do not let members use BBCode.";"No, do not let members use BBCode."
"Enable BBCode";"Enable BBCode"
"Yes, members can use HTML in their posts.";"Yes, members can use HTML in their posts."
"No, strip HTML from posts.";"No, strip HTML from posts."
"Enable HTML";"Enable HTML"

# categories
"Animals";"Animals"
"Business & Finance";"Business & Finance"
"Computers & Internet";"Computers & Internet"
"Cultures & Community";"Cultures & Community"
"Dating & Relationships";"Dating & Relationships"
"Entertainment & Arts";"Entertainment & Arts"
"Family & Home";"Family & Home"
"Games";"Games"
"Government & Politics";"Government & Politics"
"Health & Wellness";"Health & Wellness"
"Hobbies & Crafts";"Hobbies & Crafts"
"Music";"Music"
"Recreation & Sports";"Recreation & Sports"
"Regional";"Regional"
"Religion & Beliefs";"Religion & Beliefs"
"Schools & Education";"Schools & Education"
"Science";"Science"


# item types
"ITEM_TYPE_GROUP";"Circles"
"ITEM_TYPE_GROUP_ALBUM";"Circle Albums"
"ITEM_TYPE_GROUP_PHOTO";"Circle Photos"
"ITEM_TYPE_GROUP_TOPIC";"Circle Discussion Topic"
"ITEM_TYPE_GROUP_POST";"Circle Discussion Post"


# action types
"{item:$subject} created a new group:";"{item:$subject} created a new circle:"
"{item:$subject} joined the group {item:$object}";"{item:$subject} joined the circle {item:$object}"
"{item:$subject} added {var:$count} photo(s).";"{item:$subject} added {var:$count} photo(s)."
"{item:$subject} has been made an officer for the group {item:$object}";"{item:$subject} has been made an officer for the circle {item:$object}"
"{item:$subject} posted a {item:$object:topic} in the group {itemParent:$object:group}: {body:$body}";"{item:$subject} posted a {item:$object:topic} in the circle {itemParent:$object:group}: {body:$body}"
"{item:$subject} replied to a {item:$object:topic} in the group {itemParent:$object:group}: {body:$body}";"{item:$subject} replied to a {item:$object:topic} in the circle {itemParent:$object:group}: {body:$body}"


# notification types
"{item:$subject} has {item:$object:posted} on a {itemParent:$object::group topic} you created.";"{item:$subject} has {item:$object:posted} on a {itemParent:$object::group topic} you created."
"{item:$subject} has {item:$object:posted} on a {itemParent:$object::group topic} you posted on.";"{item:$subject} has {item:$object:posted} on a {itemParent:$object::group topic} you posted on."
"{item:$subject} has invited you to the group {item:$object}.";"{item:$subject} has invited you to the circle {item:$object}."
