"Make Page Document Highlighted ?";"Make Page Document Highlighted ?"
"Are you sure that you want to make this Page document highlighted ?";"Are you sure that you want to make this Page document highlighted ?"
"Make Highlighted";"Make Highlighted"
"Make Un-highlighted";"Make Un-highlighted"
"Make Page Document Un-highlighted ?";"Make Page Document Un-highlighted ?"
"Are you sure that you want to make this Page document un-highlighted ?";"Are you sure that you want to make this Page document un-highlighted ?"
"Most Viewed Documents";"Most Viewed Documents"
"ADMIN_ACTIVITY_TYPE_SITEPAGEDOCUMENT_NEW";"When a new page document entry is posted."
"ADMIN_ACTIVITY_TYPE_LIKE_SITEPAGEDOCUMENT";"When someone likes one of my page document entries."
"ADMIN_ACTIVITY_TYPE_LIKED_SITEPAGEDOCUMENT";"When someone comments on a page document entry I liked."
"ADMIN_ACTIVITY_TYPE_COMMENTED_SITEPAGEDOCUMENT";"When someone comments on a page document I commented on."
"ADMIN_ACTIVITY_TYPE_COMMENT_SITEPAGEDOCUMENT";"When someone comments on one of my page document entries."
"_ACTIVITY_ACTIONTYPE_SITEPAGEDOCUMENT_NEW";"New page document entries  creates by member"
"_ACTIVITY_ACTIONTYPE_COMMENT_SITEPAGEDOCUMENT";"Comments on your page documents"
"ACTIVITY_TYPE_COMMENTED_SITEPAGEDOCUMENT";"When someone comments on a page document I commented on."
"ACTIVITY_TYPE_COMMENT_SITEPAGEDOCUMENT";"When someone comments on one of my page document entries."
"ACTIVITY_TYPE_LIKED_SITEPAGEDOCUMENT";"When someone comments on a page document entry I liked."
"ACTIVITY_TYPE_LIKE_SITEPAGEDOCUMENT";"When someone likes one of my page document entries."
"ACTIVITY_TYPE_SITEPAGEDOCUMENT_NEW";"When a new page document entry is posted."
"ITEM_TYPE_SITEPAGEDOCUMENT";"Page Documents"
"ADMIN_ACTIVITY_TYPE_SITEPAGEDOCUMENT_DOCUMENT_NEW";"When a new page document entry is posted."
"ADMIN_ACTIVITY_TYPE_LIKE_SITEPAGEDOCUMENT_DOCUMENT";"When someone likes one of my page document entries."
"ADMIN_ACTIVITY_TYPE_LIKED_SITEPAGEDOCUMENT_DOCUMENT";"When someone comments on a page document entry I liked."
"ADMIN_ACTIVITY_TYPE_COMMENTED_SITEPAGEDOCUMENT_DOCUMENT";"When someone comments on a page document I commented on."
"ADMIN_ACTIVITY_TYPE_COMMENT_SITEPAGEDOCUMENT_DOCUMENT";"When someone comments on one of my page document entries."
"_ACTIVITY_ACTIONTYPE_SITEPAGEDOCUMENT_DOCUMENT_NEW";"New page document entries creates by member"
"_ACTIVITY_ACTIONTYPE_COMMENT_SITEPAGEDOCUMENT_DOCUMENT";"Comments on your page documents"
"ACTIVITY_TYPE_COMMENTED_SITEPAGEDOCUMENT_DOCUMENT";"When someone comments on a page document I commented on."
"ACTIVITY_TYPE_COMMENT_SITEPAGEDOCUMENT_DOCUMENT";"When someone comments on one of my page document entries."
"ACTIVITY_TYPE_LIKED_SITEPAGEDOCUMENT_DOCUMENT";"When someone comments on a page document entry I liked."
"ACTIVITY_TYPE_LIKE_SITEPAGEDOCUMENT_DOCUMENT";"When someone likes one of my page document entries."
"ACTIVITY_TYPE_SITEPAGEDOCUMENT_DOCUMENT_NEW";"When a new page document entry is posted."
"ITEM_TYPE_SITEPAGEDOCUMENT_DOCUMENT";"Page Documents"
"ADMIN_ACTIVITY_TYPE_SITEPAGEDOCUMENT_ADMIN_NEW";"When a new page document entry is posted by page admin."
"_ACTIVITY_ACTIONTYPE_SITEPAGEDOCUMENT_ADMIN_NEW";"New page document entries creates by page admin"
"_EMAIL_NOTIFY_SITEPAGEOWNER_SITEPAGEDOCUMENT_DELETE_TITLE";"Page Document getting deleted at Scribd (Page Owner)"
"_EMAIL_NOTIFY_SITEPAGEOWNER_SITEPAGEDOCUMENT_DELETE_DESCRIPTION";"This email is sent to a page owner when a document in his page gets deleted at Scribd (This happens very rarely when Scribd's algoritm detects a document to be violating a copyright.)."
"_EMAIL_NOTIFY_SITEPAGEOWNER_SITEPAGEDOCUMENT_DELETE_SUBJECT";"A document has been deleted in your page."
